route_id,date,hour,travel_time_s,length_m,speed_kmh
R1_blue_olaya,2024-01-01,0,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,0,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,0,1467,25659,63.0
R1_blue_olaya,2024-01-01,1,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,1,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,1,1467,25659,63.0
R1_blue_olaya,2024-01-01,2,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,2,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,2,1467,25659,63.0
R1_blue_olaya,2024-01-01,3,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,3,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,3,1467,25659,63.0
R1_blue_olaya,2024-01-01,4,1512,20517,48.9
R2_red_king_abdullah,2024-01-01,4,1701,29760,63.0
R3_green_king_abdulaziz,2024-01-01,4,1482,25659,62.3
R1_blue_olaya,2024-01-01,5,1517,20517,48.7
R2_red_king_abdullah,2024-01-01,5,1707,29760,62.8
R3_green_king_abdulaziz,2024-01-01,5,1485,25659,62.2
R1_blue_olaya,2024-01-01,6,1546,20517,47.8
R2_red_king_abdullah,2024-01-01,6,1747,29760,61.3
R3_green_king_abdulaziz,2024-01-01,6,1501,25659,61.5
R1_blue_olaya,2024-01-01,7,1633,23490,51.8
R2_red_king_abdullah,2024-01-01,7,2007,29760,53.4
R3_green_king_abdulaziz,2024-01-01,7,1599,25659,57.8
R1_blue_olaya,2024-01-01,8,1818,19684,39.0
R2_red_king_abdullah,2024-01-01,8,2166,30481,50.7
R3_green_king_abdulaziz,2024-01-01,8,1737,25659,53.2
R1_blue_olaya,2024-01-01,9,1794,20517,41.2
R2_red_king_abdullah,2024-01-01,9,2100,30481,52.3
R3_green_king_abdulaziz,2024-01-01,9,1732,25659,53.3
R1_blue_olaya,2024-01-01,10,1770,20517,41.7
R2_red_king_abdullah,2024-01-01,10,2055,30481,53.4
R3_green_king_abdulaziz,2024-01-01,10,1762,25659,52.4
R1_blue_olaya,2024-01-01,11,1828,20517,40.4
R2_red_king_abdullah,2024-01-01,11,2112,30481,52.0
R3_green_king_abdulaziz,2024-01-01,11,1869,25659,49.4
R1_blue_olaya,2024-01-01,12,1898,19436,36.9
R2_red_king_abdullah,2024-01-01,12,2182,30481,50.3
R3_green_king_abdulaziz,2024-01-01,12,1951,22789,42.1
R1_blue_olaya,2024-01-01,13,1896,19436,36.9
R2_red_king_abdullah,2024-01-01,13,2232,30481,49.2
R3_green_king_abdulaziz,2024-01-01,13,1957,22789,41.9
R1_blue_olaya,2024-01-01,14,1960,19436,35.7
R2_red_king_abdullah,2024-01-01,14,2435,30479,45.1
R3_green_king_abdulaziz,2024-01-01,14,2021,25196,44.9
R1_blue_olaya,2024-01-01,15,2144,19436,32.6
R2_red_king_abdullah,2024-01-01,15,2882,29509,36.9
R3_green_king_abdulaziz,2024-01-01,15,2227,25196,40.7
R1_blue_olaya,2024-01-01,16,2458,19436,28.5
R2_red_king_abdullah,2024-01-01,16,3375,30134,32.1
R3_green_king_abdulaziz,2024-01-01,16,2549,21298,30.1
R1_blue_olaya,2024-01-01,17,2817,19436,24.8
R2_red_king_abdullah,2024-01-01,17,3680,31233,30.6
R3_green_king_abdulaziz,2024-01-01,17,2719,21298,28.2
R1_blue_olaya,2024-01-01,18,2713,20214,26.8
R2_red_king_abdullah,2024-01-01,18,3164,29760,33.9
R3_green_king_abdulaziz,2024-01-01,18,2524,21301,30.4
R1_blue_olaya,2024-01-01,19,2218,20517,33.3
R2_red_king_abdullah,2024-01-01,19,2443,29760,43.9
R3_green_king_abdulaziz,2024-01-01,19,2080,22789,39.4
R1_blue_olaya,2024-01-01,20,1805,20517,40.9
R2_red_king_abdullah,2024-01-01,20,2035,29760,52.6
R3_green_king_abdulaziz,2024-01-01,20,1805,22789,45.5
R1_blue_olaya,2024-01-01,21,1612,20517,45.8
R2_red_king_abdullah,2024-01-01,21,1821,29760,58.8
R3_green_king_abdulaziz,2024-01-01,21,1610,25659,57.4
R1_blue_olaya,2024-01-01,22,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,22,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,22,1467,25659,63.0
R1_blue_olaya,2024-01-01,23,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,23,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,23,1467,25659,63.0
R1_blue_olaya,2024-01-01,0,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,0,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,0,1467,25659,63.0
R1_blue_olaya,2024-01-01,1,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,1,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,1,1467,25659,63.0
R1_blue_olaya,2024-01-01,2,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,2,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,2,1467,25659,63.0
R1_blue_olaya,2024-01-01,3,1496,20517,49.4
R2_red_king_abdullah,2024-01-01,3,1685,29760,63.6
R3_green_king_abdulaziz,2024-01-01,3,1467,25659,63.0
R1_blue_olaya,2024-01-01,4,1512,20517,48.9
R2_red_king_abdullah,2024-01-01,4,1701,29760,63.0
R3_green_king_abdulaziz,2024-01-01,4,1482,25659,62.3
R1_blue_olaya,2024-01-01,5,1517,20517,48.7
R2_red_king_abdullah,2024-01-01,5,1707,29760,62.8
R3_green_king_abdulaziz,2024-01-01,5,1485,25659,62.2
R1_blue_olaya,2024-01-01,6,1546,20517,47.8
R2_red_king_abdullah,2024-01-01,6,1747,29760,61.3
R3_green_king_abdulaziz,2024-01-01,6,1501,25659,61.5
